"School";"Class";"Wave";"Child_Bosse";"Day";"Gender";"Age";"Steps";"Minutes_MVPA";"Steps_ML_imp1";"Minutes_MVPA_ML_imp1";"imputed";"Start";"Finish";"Date"
22;52;1;648;5;1;12;NA;NA;NA;NA;NA;"2016-01-27";"2016-02-02";"2016-02-01"
22;52;1;643;2;1;13;NA;NA;7624;31;1;"2016-01-27";"2016-02-02";"2016-01-29"
22;52;1;643;1;1;13;NA;NA;13617;70;1;"2016-01-27";"2016-02-02";"2016-01-28"
22;52;1;650;3;0;12;3320;0;3320;0;0;"2016-01-27";"2016-02-02";"2016-01-30"
22;52;1;643;5;1;13;NA;NA;NA;NA;NA;"2016-01-27";"2016-02-02";"2016-02-01"
22;52;1;649;5;0;12;NA;NA;NA;NA;NA;"2016-01-27";"2016-02-02";"2016-02-01"
22;52;1;648;2;1;12;3949;0;3949;0;0;"2016-01-27";"2016-02-02";"2016-01-29"
22;52;1;648;1;1;12;6179;0;6179;0;0;"2016-01-27";"2016-02-02";"2016-01-28"
22;52;1;648;4;1;12;NA;NA;NA;NA;NA;"2016-01-27";"2016-02-02";"2016-01-31"
22;52;1;643;4;1;13;NA;NA;NA;NA;NA;"2016-01-27";"2016-02-02";"2016-01-31"
22;52;1;649;3;0;12;NA;NA;9619;39;1;"2016-01-27";"2016-02-02";"2016-01-30"
22;52;1;649;4;0;12;NA;NA;NA;NA;NA;"2016-01-27";"2016-02-02";"2016-01-31"
22;52;1;649;2;0;12;NA;NA;4568;0;1;"2016-01-27";"2016-02-02";"2016-01-29"
22;52;1;650;1;0;12;12283;32;12283;32;0;"2016-01-27";"2016-02-02";"2016-01-28"
22;52;1;643;3;1;13;NA;NA;5363;13;1;"2016-01-27";"2016-02-02";"2016-01-30"
22;52;1;648;3;1;12;3829;13;3829;13;0;"2016-01-27";"2016-02-02";"2016-01-30"
22;52;1;649;1;0;12;9332;32;9332;32;0;"2016-01-27";"2016-02-02";"2016-01-28"
22;52;1;645;2;1;12;9910;37;9910;37;0;"2016-01-27";"2016-02-02";"2016-01-29"
22;52;1;645;1;1;12;10739;24;10739;24;0;"2016-01-27";"2016-02-02";"2016-01-28"
22;52;1;645;5;1;12;9771;46;9771;46;0;"2016-01-27";"2016-02-02";"2016-02-01"
22;52;1;650;2;0;12;17170;149;17170;149;0;"2016-01-27";"2016-02-02";"2016-01-29"
22;52;1;645;3;1;12;NA;NA;12602;47;1;"2016-01-27";"2016-02-02";"2016-01-30"
22;52;1;650;5;0;12;8219;50;8219;50;0;"2016-01-27";"2016-02-02";"2016-02-01"
22;52;1;645;4;1;12;10715;36;10715;36;0;"2016-01-27";"2016-02-02";"2016-01-31"
22;52;1;650;4;0;12;9171;42;9171;42;0;"2016-01-27";"2016-02-02";"2016-01-31"
22;52;2;643;2;1;13;NA;NA;4498;15;1;"2016-03-30";"2016-04-05";"2016-04-01"
22;52;2;643;1;1;13;NA;NA;5844;18;1;"2016-03-30";"2016-04-05";"2016-03-31"
22;52;2;649;5;0;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-04"
22;52;2;649;1;0;12;3047;6;3047;6;0;"2016-03-30";"2016-04-05";"2016-03-31"
22;52;2;649;4;0;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-03"
22;52;2;650;1;0;12;NA;NA;8295;22;1;"2016-03-30";"2016-04-05";"2016-03-31"
22;52;2;648;4;1;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-03"
22;52;2;650;4;0;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-03"
22;52;2;648;1;1;12;NA;NA;15070;67;1;"2016-03-30";"2016-04-05";"2016-03-31"
22;52;2;649;3;0;12;NA;NA;11428;33;1;"2016-03-30";"2016-04-05";"2016-04-02"
22;52;2;649;2;0;12;NA;NA;9139;36;1;"2016-03-30";"2016-04-05";"2016-04-01"
22;52;2;643;5;1;13;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-04"
22;52;2;650;3;0;12;NA;NA;19250;133;1;"2016-03-30";"2016-04-05";"2016-04-02"
22;52;2;650;2;0;12;NA;NA;7718;49;1;"2016-03-30";"2016-04-05";"2016-04-01"
22;52;2;648;2;1;12;NA;NA;9276;28;1;"2016-03-30";"2016-04-05";"2016-04-01"
22;52;2;645;2;1;12;NA;NA;12612;46;1;"2016-03-30";"2016-04-05";"2016-04-01"
22;52;2;643;3;1;13;NA;NA;10649;17;1;"2016-03-30";"2016-04-05";"2016-04-02"
22;52;2;650;5;0;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-04"
22;52;2;645;4;1;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-03"
22;52;2;643;4;1;13;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-03"
22;52;2;648;3;1;12;NA;NA;6109;14;1;"2016-03-30";"2016-04-05";"2016-04-02"
22;52;2;645;5;1;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-04"
22;52;2;648;5;1;12;NA;NA;NA;NA;NA;"2016-03-30";"2016-04-05";"2016-04-04"
22;52;2;645;1;1;12;NA;NA;12673;56;1;"2016-03-30";"2016-04-05";"2016-03-31"
22;52;2;645;3;1;12;NA;NA;6554;12;1;"2016-03-30";"2016-04-05";"2016-04-02"
22;52;3;649;2;0;12;NA;NA;1484;0;1;"2016-06-02";"2016-06-08";"2016-06-04"
22;52;3;648;3;1;12;NA;NA;19655;102;1;"2016-06-02";"2016-06-08";"2016-06-05"
22;52;3;645;4;1;12;NA;NA;NA;NA;NA;"2016-06-02";"2016-06-08";"2016-06-06"
22;52;3;648;5;1;12;NA;NA;NA;NA;NA;"2016-06-02";"2016-06-08";"2016-06-07"
22;52;3;649;5;0;12;NA;NA;NA;NA;NA;"2016-06-02";"2016-06-08";"2016-06-07"
22;52;3;649;4;0;12;NA;NA;NA;NA;NA;"2016-06-02";"2016-06-08";"2016-06-06"
22;52;3;649;3;0;12;NA;NA;9130;21;1;"2016-06-02";"2016-06-08";"2016-06-05"
22;52;3;645;1;1;12;NA;NA;5101;4;1;"2016-06-02";"2016-06-08";"2016-06-03"
22;52;3;650;3;0;12;NA;NA;8219;30;1;"2016-06-02";"2016-06-08";"2016-06-05"
22;52;3;645;3;1;12;NA;NA;15575;76;1;"2016-06-02";"2016-06-08";"2016-06-05"
22;52;3;649;1;0;12;NA;NA;2278;3;1;"2016-06-02";"2016-06-08";"2016-06-03"
22;52;3;648;4;1;12;NA;NA;NA;NA;NA;"2016-06-02";"2016-06-08";"2016-06-06"
22;52;3;650;1;0;12;NA;NA;19266;115;1;"2016-06-02";"2016-06-08";"2016-06-03"
