"School";"Primary";"Secondary";"Class_Y1";"Class_Y2";"Child_Bosse";"parti_W1";"parti_W2";"parti_W3";"parti_W4"
22;NA;1;52;52;643;1;0;0;0
22;NA;1;52;52;645;1;0;0;0
22;NA;1;52;52;648;1;0;0;0
22;NA;1;52;55;649;1;1;0;1
22;NA;1;52;55;650;1;1;0;1
22;NA;1;53;53;666;1;1;1;0
22;NA;1;54;54;676;1;1;0;0
22;NA;1;54;54;677;1;0;0;0
22;NA;1;54;198;683;0;1;1;0
22;NA;1;54;54;685;1;0;0;0
22;NA;1;54;54;688;1;0;1;0
22;NA;1;54;55;690;1;0;1;1
22;NA;1;55;54;693;1;1;0;0
22;NA;1;55;55;694;1;1;0;1
22;NA;1;55;56;698;1;1;1;0
22;NA;1;56;56;721;1;1;0;0
22;NA;1;56;55;733;1;1;1;1
22;NA;1;56;56;736;1;1;0;0
22;NA;1;56;56;737;1;0;0;0
22;NA;1;56;55;738;1;1;1;1
22;NA;1;56;55;739;1;0;1;1
22;NA;1;57;55;744;0;1;0;1
22;NA;1;57;57;745;1;1;0;0
22;NA;1;57;57;747;1;1;0;0
22;NA;1;58;58;761;1;1;1;0
22;NA;1;58;58;766;1;1;0;0
22;NA;1;58;58;767;1;1;1;0
22;NA;1;58;58;768;1;1;0;0
22;NA;1;58;198;770;1;1;0;0
22;NA;1;58;198;771;1;1;1;0
22;NA;1;58;58;774;1;1;0;0
22;NA;1;58;58;777;1;1;1;0
23;NA;1;59;59;778;1;1;1;1
23;NA;1;59;60;782;1;0;0;0
23;NA;1;59;59;787;1;1;1;1
23;NA;1;59;59;788;1;1;0;1
23;NA;1;59;59;790;1;1;0;1
23;NA;1;59;59;791;1;1;1;1
23;NA;1;59;59;796;1;1;1;1
23;NA;1;59;59;797;1;1;1;1
23;NA;1;59;59;799;1;1;1;1
23;NA;1;59;59;801;1;1;1;1
23;NA;1;60;60;810;1;0;1;1
23;NA;1;60;60;811;1;1;1;1
23;NA;1;60;60;815;1;1;1;1
23;NA;1;60;60;820;1;1;1;1
23;NA;1;60;60;823;1;1;1;1
23;NA;1;60;60;824;1;1;1;1
23;NA;1;60;59;825;0;1;1;1
23;NA;1;60;60;826;1;1;1;0
23;NA;1;60;60;828;1;1;1;1
23;NA;1;61;61;830;1;1;1;0
23;NA;1;61;61;833;1;1;1;1
23;NA;1;61;204;835;1;1;1;0
23;NA;1;61;61;837;1;1;1;1
23;NA;1;61;61;841;1;1;1;1
23;NA;1;61;60;843;1;1;1;1
23;NA;1;61;61;847;1;1;1;1
23;NA;1;61;61;851;1;1;1;1
23;NA;1;62;62;852;1;1;1;1
23;NA;1;62;61;859;1;1;1;1
23;NA;1;62;61;861;1;1;1;1
23;NA;1;62;61;864;1;1;1;1
23;NA;1;62;62;865;1;1;1;1
23;NA;1;62;62;866;1;1;1;1
23;NA;1;63;63;871;1;1;1;1
23;NA;1;63;63;877;1;1;1;1
23;NA;1;63;63;880;1;1;1;1
23;NA;1;63;63;883;1;1;1;1
23;NA;1;63;63;884;1;1;1;1
23;NA;1;64;61;895;1;1;1;1
23;NA;1;64;64;897;0;0;0;1
23;NA;1;64;61;898;1;1;1;1
23;NA;1;64;61;899;1;1;1;1
23;NA;1;64;61;900;1;1;1;1
25;NA;1;65;65;903;1;0;0;0
25;NA;1;65;65;907;1;0;1;1
25;NA;1;65;65;908;1;1;1;1
25;NA;1;65;65;914;0;1;1;1
25;NA;1;65;65;915;1;1;1;1
25;NA;1;65;65;916;1;0;0;0
25;NA;1;65;65;918;1;0;0;0
25;NA;1;65;65;920;1;1;1;1
25;NA;1;65;65;921;1;0;0;1
25;NA;1;65;65;924;1;1;1;0
25;NA;1;65;65;926;1;1;1;1
25;NA;1;65;65;928;1;0;0;1
25;NA;1;65;65;929;0;1;1;1
25;NA;1;65;65;932;1;1;1;1
25;NA;1;66;66;933;1;1;1;1
25;NA;1;66;66;936;1;1;1;1
25;NA;1;66;66;937;1;1;1;1
25;NA;1;66;66;938;1;1;1;1
25;NA;1;66;NA;942;0;1;0;0
25;NA;1;66;66;943;1;1;1;1
25;NA;1;66;66;946;1;1;1;1
25;NA;1;66;66;947;1;1;1;1
25;NA;1;66;66;948;1;1;1;1
25;NA;1;66;66;950;1;1;1;1
25;NA;1;66;66;952;1;1;0;0
25;NA;1;66;66;955;0;1;1;1
25;NA;1;66;66;956;1;1;1;1
25;NA;1;66;NA;959;0;1;1;0
25;NA;1;67;69;963;0;1;1;1
25;NA;1;67;67;965;1;1;1;1
25;NA;1;67;67;966;1;1;1;1
25;NA;1;67;67;967;1;1;1;1
25;NA;1;67;67;968;1;1;1;1
25;NA;1;67;67;971;1;1;1;1
25;NA;1;67;67;972;1;1;1;1
25;NA;1;67;67;973;1;0;1;1
25;NA;1;67;67;974;1;1;1;1
25;NA;1;67;67;975;1;1;1;1
25;NA;1;67;67;977;1;1;1;1
25;NA;1;67;67;978;0;1;1;1
25;NA;1;67;67;979;1;1;1;0
25;NA;1;67;67;980;1;1;1;0
25;NA;1;67;67;982;1;0;1;1
25;NA;1;67;67;983;1;1;1;1
25;NA;1;67;67;985;1;1;1;1
25;NA;1;67;67;987;1;1;1;1
25;NA;1;68;68;991;1;1;1;1
25;NA;1;68;68;1000;1;1;1;1
25;NA;1;68;68;1001;1;1;1;1
25;NA;1;68;68;1002;1;1;1;1
25;NA;1;68;68;1004;1;0;1;1
25;NA;1;68;68;1005;1;1;1;0
25;NA;1;68;68;1007;1;1;1;1
25;NA;1;68;68;1009;1;1;1;1
25;NA;1;68;68;1010;1;1;1;1
25;NA;1;68;68;1011;1;1;1;1
25;NA;1;68;68;1014;1;1;1;1
25;NA;1;68;NA;1016;0;1;1;0
25;NA;1;68;68;1017;1;1;1;1
25;NA;1;68;68;1019;1;1;1;1
25;NA;1;69;69;1020;1;1;1;1
25;NA;1;69;69;1026;0;1;1;1
25;NA;1;69;69;1029;1;1;1;1
25;NA;1;69;69;1030;0;1;1;1
25;NA;1;69;69;1032;0;1;1;1
25;NA;1;69;69;1035;0;1;1;1
25;NA;1;69;69;1037;1;1;1;1
25;NA;1;69;69;1038;0;1;1;1
25;NA;1;69;69;1039;1;1;1;1
25;NA;1;69;69;1040;1;1;0;1
25;NA;1;69;69;1041;1;1;1;1
25;NA;1;69;69;1043;0;1;1;0
25;NA;1;69;69;1049;1;1;1;1
