threshold,ipa,error
1.0,0.001,0.11473565548330354
0.9750000000000001,0.001,0.12257852439090455
0.9500000000000001,0.001,0.1315163802205096
0.925,0.001,0.14091889886796852
1.0,0.002,0.14508352573985248
0.9,0.001,0.15069899025707398
0.9750000000000001,0.002,0.15604290600768395
1.0,0.003,0.15902385751656475
1.0,0.004,0.15982697717432442
1.0,0.005,0.1603707164168473
0.8750000000000001,0.001,0.1612963810077561
1.0,0.007,0.1616636215688526
1.0,0.006,0.16184209603345373
1.0,0.008,0.1625928507257042
1.0,0.009000000000000001,0.16430609980430055
1.0,0.010000000000000002,0.1651364724163583
1.0,0.011,0.1656346463755765
1.0,0.012,0.16626949130751867
1.0,0.013000000000000001,0.16629654724601173
0.9500000000000001,0.002,0.1685832076653522
1.0,0.014000000000000002,0.1690395137261615
1.0,0.015,0.1694320782185808
1.0,0.017,0.16995791173699204
0.9750000000000001,0.003,0.17056736554040383
0.9750000000000001,0.004,0.1711647777708464
1.0,0.019000000000000003,0.17150464037248966
1.0,0.016,0.17156108867436093
1.0,0.018000000000000002,0.1715902339694647
0.8500000000000001,0.001,0.17203032525257259
1.0,0.021,0.17228694704004843
0.9750000000000001,0.005,0.1727520237221453
0.9750000000000001,0.006,0.17326489488859462
1.0,0.022000000000000002,0.17389837037567302
0.9750000000000001,0.007,0.17405430634561053
0.9750000000000001,0.008,0.17431528810019484
1.0,0.02,0.17435596983110652
1.0,0.024,0.17440210392452915
1.0,0.023,0.17605716312019426
0.9750000000000001,0.009000000000000001,0.1764545871916446
1.0,0.028,0.17731220543130294
1.0,0.030000000000000002,0.17747940409209376
0.9750000000000001,0.010000000000000002,0.17778637610230885
1.0,0.026000000000000002,0.1780595198915804
0.9750000000000001,0.011,0.1782756019636932
0.9750000000000001,0.012,0.17847241795828991
1.0,0.027000000000000003,0.1792104820046843
0.9750000000000001,0.013000000000000001,0.1795891184894666
0.9750000000000001,0.014000000000000002,0.17971892815913754
1.0,0.029,0.17996542975445717
1.0,0.025,0.18026494620868386
0.925,0.002,0.18155283595565277
0.9750000000000001,0.015,0.1818543582944937
1.0,0.031,0.18230375511288635
1.0,0.033,0.182436795660348
0.9500000000000001,0.003,0.18313627427786136
0.9750000000000001,0.016,0.18323714467262323
0.9750000000000001,0.018000000000000002,0.18382504144141099
0.9750000000000001,0.017,0.18385376510645904
1.0,0.032,0.18394494560726748
0.8250000000000001,0.001,0.1839791645039176
1.0,0.037000000000000005,0.18423749327466543
0.9500000000000001,0.004,0.18440209447061687
1.0,0.034,0.18528814807835542
0.9500000000000001,0.006,0.18559362714039468
0.9500000000000001,0.005,0.18559656294879762
0.9750000000000001,0.021,0.18609454319496466
0.9500000000000001,0.007,0.18642420382032426
1.0,0.036000000000000004,0.18679743773450558
0.9750000000000001,0.019000000000000003,0.18685313941842946
0.9750000000000001,0.02,0.1873382054039359
0.9500000000000001,0.008,0.1878307028753436
1.0,0.039,0.1879282770056734
0.9750000000000001,0.022000000000000002,0.18827996505657907
0.9500000000000001,0.009000000000000001,0.18845898546811535
1.0,0.04,0.18852865177408368
0.9750000000000001,0.024,0.1887300984365052
1.0,0.042,0.1889053542084797
0.9500000000000001,0.010000000000000002,0.18986999993424614
0.9750000000000001,0.027000000000000003,0.19011169190589028
1.0,0.035,0.19045922345611224
0.9750000000000001,0.023,0.19150587985014034
0.9500000000000001,0.012,0.19159311721212377
1.0,0.041,0.19177932636156625
1.0,0.043000000000000003,0.19182454893244735
0.9750000000000001,0.025,0.192190811587662
0.9750000000000001,0.030000000000000002,0.19230340733062226
1.0,0.038,0.19258199154069958
0.9500000000000001,0.011,0.19262651839211362
0.9750000000000001,0.026000000000000002,0.19381402762484437
0.9750000000000001,0.028,0.19428429327900565
0.9500000000000001,0.015,0.19464062631464568
1.0,0.044000000000000004,0.1947227004454946
0.9750000000000001,0.031,0.19495967347401688
0.9500000000000001,0.017,0.19498049543753135
1.0,0.047,0.19516289755963054
0.9,0.002,0.19532502352317824
1.0,0.045,0.1956744490443595
0.9750000000000001,0.029,0.19568336554577873
0.9500000000000001,0.018000000000000002,0.19585671669859117
0.9500000000000001,0.014000000000000002,0.19589720698525045
